"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcified","log1p_avg_controls"
"188","CDH19",2.71029415857525e-90,-1.24387831036922,0.007,0.114,5.97403038433157e-86,0.131466870813623,0.993657614605719
"189","CDH6",9.50436874773852e-72,-0.638299758339061,0.053,0.18,2.09495295937652e-67,0.394955108533596,0.837390786378411
"190","CDR2",1.36837563639394e-31,-0.253450416140273,0.195,0.322,3.01617357773953e-27,1.093534116223,1.26921255758238
"191","CEP112",1.71894222125092e-28,-0.288144211526197,0.178,0.29,3.78889244408128e-24,0.997377344572953,1.19710369238701
"192","CEP170",1.8050561632649e-39,-0.352266054634144,0.106,0.215,3.9787047950685e-35,0.639980199172579,0.88415242174921
"193","CEP85L",7.78197728382367e-40,-0.423163672130119,0.088,0.189,1.71530343290041e-35,0.549266570087377,0.842581276339762
"194","CFD",3.8218750947177e-24,0.918363966063524,0.14,0.078,8.42417708377675e-20,1.20457930848873,0.568017914683949
"195","CFH",9.25108906181027e-78,-0.989159604315163,0.061,0.197,2.03912505100422e-73,0.468194444418354,1.1538276352732
"196","CHCHD2",5.53796697806051e-28,-0.289320127458821,0.056,0.126,1.2206786813041e-23,0.398925220561037,0.599466651188362
"197","CHPT1",1.58191010945313e-37,-0.338217043060905,0.073,0.166,3.4868462632566e-33,0.473886962890053,0.708321152705041
"198","CHST11",1.66894279223498e-76,-0.729954014422971,0.073,0.216,3.67868370264434e-72,0.548430532550011,1.05439609958571
"199","CHST3",4.66503588410122e-07,0.465299658131859,0.12,0.092,0.0102826720957359,0.735567658727194,0.413046512577589
"200","CHSY3",4.75425124702939e-25,-0.424044003889812,0.163,0.262,1.04793205987022e-20,1.11370233014059,1.40762723587016
"201","CHURC1-FNTB",1.73433870721621e-36,-0.30591516941881,0.043,0.12,3.82282937844597e-32,0.322958540640491,0.535002777813657
"202","CIRBP",1.80487815856438e-06,0.615538940193243,0.299,0.295,0.039783124371076,1.50613762482037,1.07947854390057
"203","CKB",7.0688204847121e-22,0.767789769691143,0.257,0.194,1.55810941124024e-17,1.43688713924652,0.904695825122339
"204","CKMT2-AS1",7.93662200924815e-33,-0.32428932573104,0.046,0.119,1.74939022327848e-28,0.328776482330604,0.553556714146761
"205","CLASP1",8.71819946529719e-39,-0.274414055036408,0.259,0.419,1.92166552614081e-34,1.28638345157193,1.47659278012643
"206","CLASP2",1.80936359359103e-82,-0.605405986477932,0.26,0.477,3.98819923299335e-78,1.31338784913248,1.73302330175378
"207","CLHC1",4.96868175811676e-39,-0.321052698035253,0.042,0.121,1.0951968331241e-34,0.295585602845409,0.518122375299709
"208","CLIC4",2.08602809171961e-16,0.565499196446844,0.399,0.366,4.59802311976837e-12,1.82916373687895,1.4371895632529
"209","CLIP1",0.904339564083678,0.364147842250878,0.279,0.315,1,1.41137797369327,1.15896992353009
"210","CLIP2",0.0935452266802819,0.355441484073911,0.138,0.133,1,0.861983831735815,0.615610569195941
"211","CLIP4",2.22416874288614e-35,-0.302222312751562,0.049,0.127,4.90251274306963e-31,0.336928656189564,0.546413200175616
"212","CLMN",1.05589563965544e-68,-0.652400071871603,0.103,0.254,2.32740516892852e-64,0.707660831411749,1.15987010182665
"213","CLTCL1",8.11997051832769e-23,-0.276015646774777,0.073,0.14,1.78980390164979e-18,0.480529072312548,0.671848539664915
"214","CLU",1.24717285706936e-56,0.957919860610884,0.38,0.261,2.74901841155228e-52,1.8482585837595,1.18427913317469
"215","CMIP",4.62073329154314e-17,-0.307548751799661,0.135,0.207,1.01850203212194e-12,0.92209826114598,1.13527481134065
"216","CMSS1",0.215052730829582,0.2656594031492,0.18,0.178,1,1.04128139005657,0.857140323774463
"217","CNKSR3",6.17594608514783e-28,-0.292975169549003,0.131,0.228,1.36130203608828e-23,0.833071586423152,1.03614649917012
"218","CNN1",6.01904949630178e-197,1.4419849471883,0.547,0.308,1.32671888997484e-192,2.29139097592727,1.29188317537381
"219","CNN2",0.301363196695743,0.264499467821456,0.1,0.112,1,0.660175781631501,0.476838721251453
"220","CNN3",2.06083238303324e-23,-0.264093670078785,0.074,0.142,4.54248673868186e-19,0.462437165308662,0.6454929481275
"221","CNNM2",3.25617217510963e-73,-0.748164142680937,0.161,0.336,7.17725470837665e-69,1.03007577384617,1.54866363994151
"222","CNTN4",7.81936019114526e-22,0.579560748656954,0.555,0.497,1.72354337333224e-17,2.6540998434781,2.25237894458332
"223","CNTNAP3B",8.49516361179574e-11,-0.322305994034396,0.074,0.115,1.87250396331202e-06,0.655553407733856,0.878958898776368
"224","COL12A1",0.954740843518522,0.273803281575636,0.132,0.138,1,0.84801138459423,0.658225411942018
"225","COL14A1",6.45977873139444e-159,-1.02487740229349,0.153,0.428,1.42386442797396e-154,1.03077158273587,1.74116246455521
"226","COL15A1",5.12501026081453e-30,-0.271947235446507,0.239,0.372,1.12965476168874e-25,1.30377040390251,1.49226986341332
"227","COL16A1",0.00893051985593691,0.401556263370394,0.149,0.137,1,0.924013954197264,0.645676362405889
"228","COL21A1",4.06334418537788e-84,-0.771698160899334,0.08,0.238,8.95642325340991e-80,0.602577471141772,1.13747787561244
